FlightDate,Airline,Origin,Dest,Cancelled,Diverted,CRSDepTime,DepTime,DepDelayMinutes,DepDelay,ArrTime,ArrDelayMinutes,AirTime,CRSElapsedTime,ActualElapsedTime,Distance,Year,Quarter,Month,DayofMonth,DayOfWeek,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Operating_Airline,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,DestCityName,DestState,DestStateFips,DestStateName,DestWac,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrDelay,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,DistanceGroup,DivAirportLandings
2022-04-18,Spirit Air Lines,RSW,LBE,false,false,625,655.0,30.0,30.0,907.0,17.0,117.0,145.0,132.0,956.0,2022,2,4,18,1,NK,NK,20416,NK,182,NK,20416,NK,N533NK,182,14635,1463502,31714,"Fort Myers, FL",FL,12,Florida,33,12898,1289806,32898,"Latrobe, PA",PA,42,Pennsylvania,23,1.0,2.0,0600-0659,11.0,706.0,903.0,4.0,850,17.0,1.0,1.0,0800-0859,4,0.0
2022-04-01,SkyWest Airlines Inc.,ORD,LWB,false,false,1447,1514.0,27.0,27.0,1743.0,9.0,70.0,107.0,89.0,489.0,2022,2,4,1,5,UA,UA_CODESHARE,19977,UA,5163,OO,20304,OO,N453SW,5163,13930,1393007,30977,"Chicago, IL",IL,17,Illinois,41,13121,1312102,33121,"Lewisburg, WV",WV,54,West Virginia,39,1.0,1.0,1400-1459,17.0,1531.0,1741.0,2.0,1734,9.0,0.0,0.0,1700-1759,2,0.0
2022-04-28,SkyWest Airlines Inc.,DFW,BTR,false,false,2109,2106.0,0.0,-3.0,2222.0,0.0,54.0,85.0,76.0,383.0,2022,2,4,28,4,AA,AA_CODESHARE,19805,AA,3270,OO,20304,OO,N776SK,3270,11298,1129806,30194,"Dallas/Fort Worth, TX",TX,48,Texas,74,10781,1078105,30781,"Baton Rouge, LA",LA,22,Louisiana,72,0.0,-1.0,2100-2159,18.0,2124.0,2218.0,4.0,2234,-12.0,0.0,-1.0,2200-2259,2,0.0
2022-04-26,SkyWest Airlines Inc.,LAX,DEN,false,false,2030,2027.0,0.0,-3.0,2334.0,0.0,106.0,147.0,127.0,862.0,2022,2,4,26,2,AA,AA_CODESHARE,19805,AA,6254,OO,20304,OO,N511SY,6254,12892,1289208,32575,"Los Angeles, CA",CA,6,California,91,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,0.0,-1.0,2000-2059,10.0,2037.0,2323.0,11.0,2357,-23.0,0.0,-2.0,2300-2359,4,0.0
2022-04-27,SkyWest Airlines Inc.,OKC,DEN,false,false,1704,1702.0,0.0,-2.0,1746.0,0.0,84.0,113.0,104.0,495.0,2022,2,4,27,3,UA,UA_CODESHARE,19977,UA,5954,OO,20304,OO,N438SW,5954,13851,1385103,33851,"Oklahoma City, OK",OK,40,Oklahoma,73,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,0.0,-1.0,1700-1759,14.0,1716.0,1740.0,6.0,1757,-11.0,0.0,-1.0,1700-1759,2,0.0
2022-04-27,United Air Lines Inc.,DEN,LAS,false,false,2050,2047.0,0.0,-3.0,2139.0,0.0,89.0,118.0,112.0,628.0,2022,2,4,27,3,UA,UA,19977,UA,2352,UA,19977,UA,N62849,2352,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,12889,1288903,32211,"Las Vegas, NV",NV,32,Nevada,85,0.0,-1.0,2000-2059,15.0,2102.0,2131.0,8.0,2148,-9.0,0.0,-1.0,2100-2159,3,0.0
2022-04-05,"Commutair Aka Champlain Enterprises, Inc.",LNK,DEN,false,false,600,559.0,0.0,-1.0,704.0,24.0,80.0,100.0,125.0,423.0,2022,2,4,5,2,UA,UA_CODESHARE,19977,UA,4353,C5,20445,C5,N24128,4353,13029,1302902,33029,"Lincoln, NE",NE,31,Nebraska,65,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,0.0,-1.0,0600-0659,36.0,635.0,655.0,9.0,640,24.0,1.0,1.0,0600-0659,2,0.0
2022-02-26,SkyWest Airlines Inc.,HDN,SEA,false,false,1657,1718.0,21.0,21.0,1845.0,7.0,126.0,161.0,147.0,891.0,2022,1,2,26,6,AS,AS_CODESHARE,19930,AS,3478,OO,20304,OO,N179SY,3478,12094,1209402,34699,"Hayden, CO",CO,8,Colorado,82,14747,1474703,30559,"Seattle, WA",WA,53,Washington,93,1.0,1.0,1600-1659,15.0,1733.0,1839.0,6.0,1838,7.0,0.0,0.0,1800-1859,4,0.0
2022-02-02,SkyWest Airlines Inc.,LAX,SAN,false,false,2235,2228.0,0.0,-7.0,2308.0,0.0,28.0,50.0,40.0,109.0,2022,1,2,2,3,UA,UA_CODESHARE,19977,UA,5840,OO,20304,OO,N106SY,5840,12892,1289208,32575,"Los Angeles, CA",CA,6,California,91,14679,1467903,33570,"San Diego, CA",CA,6,California,91,0.0,-1.0,2200-2259,10.0,2238.0,2306.0,2.0,2325,-17.0,0.0,-2.0,2300-2359,1,0.0
2022-02-18,SkyWest Airlines Inc.,MSP,FSD,false,false,850,849.0,0.0,-1.0,1005.0,0.0,36.0,87.0,76.0,196.0,2022,1,2,18,5,DL,DL_CODESHARE,19790,DL,4101,OO,20304,OO,N922EV,4101,13487,1348702,31650,"Minneapolis, MN",MN,27,Minnesota,63,11775,1177502,31775,"Sioux Falls, SD",SD,46,South Dakota,67,0.0,-1.0,0800-0859,34.0,923.0,959.0,6.0,1017,-12.0,0.0,-1.0,1000-1059,1,0.0
2022-02-14,SkyWest Airlines Inc.,SEA,SJC,false,false,1515,1514.0,0.0,-1.0,1726.0,0.0,113.0,131.0,132.0,696.0,2022,1,2,14,1,DL,DL_CODESHARE,19790,DL,3530,OO,20304,OO,N302SY,3530,14747,1474703,30559,"Seattle, WA",WA,53,Washington,93,14831,1483106,32457,"San Jose, CA",CA,6,California,91,0.0,-1.0,1500-1559,17.0,1531.0,1724.0,2.0,1726,0.0,0.0,0.0,1700-1759,3,0.0
2022-02-02,Southwest Airlines Co.,SAT,TPA,false,false,950,946.0,0.0,-4.0,1250.0,0.0,111.0,135.0,124.0,972.0,2022,1,2,2,3,WN,WN,19393,WN,441,WN,19393,WN,N560WN,441,14683,1468305,33214,"San Antonio, TX",TX,48,Texas,74,15304,1530402,33195,"Tampa, FL",FL,12,Florida,33,0.0,-1.0,0900-0959,7.0,953.0,1244.0,6.0,1305,-15.0,0.0,-1.0,1300-1359,4,0.0
2022-02-23,Southwest Airlines Co.,JAX,BWI,false,false,1835,1900.0,25.0,25.0,2046.0,16.0,88.0,115.0,106.0,663.0,2022,1,2,23,3,WN,WN,19393,WN,661,WN,19393,WN,N7829B,661,12451,1245102,31136,"Jacksonville, FL",FL,12,Florida,33,10821,1082106,30852,"Baltimore, MD",MD,24,Maryland,35,1.0,1.0,1800-1859,14.0,1914.0,2042.0,4.0,2030,16.0,1.0,1.0,2000-2059,3,0.0
2022-02-13,American Airlines Inc.,DCA,MIA,false,false,800,753.0,0.0,-7.0,1246.0,108.0,167.0,178.0,293.0,919.0,2022,1,2,13,7,AA,AA,19805,AA,422,AA,19805,AA,N338RS,422,11278,1127805,30852,"Washington, DC",VA,51,Virginia,38,13303,1330303,32467,"Miami, FL",FL,12,Florida,33,0.0,-1.0,0800-0859,109.0,942.0,1229.0,17.0,1058,108.0,1.0,7.0,1000-1059,4,0.0
2022-02-14,American Airlines Inc.,LAX,MIA,false,false,835,830.0,0.0,-5.0,1612.0,4.0,248.0,273.0,282.0,2342.0,2022,1,2,14,1,AA,AA,19805,AA,529,AA,19805,AA,N840AN,529,12892,1289208,32575,"Los Angeles, CA",CA,6,California,91,13303,1330303,32467,"Miami, FL",FL,12,Florida,33,0.0,-1.0,0800-0859,19.0,849.0,1557.0,15.0,1608,4.0,0.0,0.0,1600-1659,10,0.0
2022-02-15,American Airlines Inc.,DEN,CLT,false,false,112,106.0,0.0,-6.0,558.0,0.0,153.0,181.0,172.0,1337.0,2022,1,2,15,2,AA,AA,19805,AA,1654,AA,19805,AA,N573UW,1654,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,11057,1105703,31057,"Charlotte, NC",NC,37,North Carolina,36,0.0,-1.0,0001-0559,14.0,120.0,553.0,5.0,613,-15.0,0.0,-1.0,0600-0659,6,0.0
2022-02-13,American Airlines Inc.,CLT,DSM,false,false,2239,2233.0,0.0,-6.0,2.0,0.0,129.0,157.0,149.0,815.0,2022,1,2,13,7,AA,AA,19805,AA,825,AA,19805,AA,N778XF,825,11057,1105703,31057,"Charlotte, NC",NC,37,North Carolina,36,11423,1142307,31423,"Des Moines, IA",IA,19,Iowa,61,0.0,-1.0,2200-2259,15.0,2248.0,2357.0,5.0,16,-14.0,0.0,-1.0,0001-0559,4,0.0
2022-02-21,American Airlines Inc.,AUS,PHX,false,false,1453,1501.0,8.0,8.0,1646.0,18.0,140.0,155.0,165.0,872.0,2022,1,2,21,1,AA,AA,19805,AA,1083,AA,19805,AA,N853NN,1083,10423,1042302,30423,"Austin, TX",TX,48,Texas,74,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,0.0,0.0,1400-1459,12.0,1513.0,1633.0,13.0,1628,18.0,1.0,1.0,1600-1659,4,0.0
2022-02-14,American Airlines Inc.,BOS,MIA,false,false,707,704.0,0.0,-3.0,1108.0,17.0,179.0,224.0,244.0,1258.0,2022,1,2,14,1,AA,AA,19805,AA,1259,AA,19805,AA,N863NN,1259,10721,1072102,30721,"Boston, MA",MA,25,Massachusetts,13,13303,1330303,32467,"Miami, FL",FL,12,Florida,33,0.0,-1.0,0700-0759,45.0,749.0,1048.0,20.0,1051,17.0,1.0,1.0,1000-1059,6,0.0
2022-02-02,JetBlue Airways,BOS,DCA,false,false,1100,1138.0,38.0,38.0,1308.0,30.0,75.0,98.0,90.0,399.0,2022,1,2,2,3,B6,B6,20409,B6,1755,B6,20409,B6,N178JB,1755,10721,1072102,30721,"Boston, MA",MA,25,Massachusetts,13,11278,1127805,30852,"Washington, DC",VA,51,Virginia,38,1.0,2.0,1100-1159,11.0,1149.0,1304.0,4.0,1238,30.0,1.0,2.0,1200-1259,2,0.0
